Year,Month,Median montly series,Season
1762,10,200.5,Autumn
1762,11,75.9,Autumn
1762,12,34.4,Winter
1763,1,49.1,Winter
1763,2,99.4,Winter
1763,3,47.8,Spring
1763,4,96.9,Spring
1763,5,56.4,Spring
1763,6,110.4,Summer
1763,7,168.1,Summer
1763,8,128.8,Summer
1763,9,89.6,Autumn
1763,10,110.4,Autumn
1763,11,68.7,Autumn
1763,12,201.2,Winter
1764,1,188.4,Winter
1764,2,106.9,Winter
1764,3,51.7,Spring
1764,4,49.4,Spring
1764,5,56.3,Spring
1764,6,77.0,Summer
1764,7,137.9,Summer
1764,8,104.6,Summer
1764,9,88.5,Autumn
1764,10,103.4,Autumn
1764,11,105.7,Autumn
1764,12,79.3,Winter
1765,1,125.3,Winter
1765,2,58.8,Winter
1765,3,107.0,Spring
1765,4,118.6,Spring
1765,5,23.1,Spring
1765,6,44.4,Summer
1765,7,27.0,Summer
1765,8,97.4,Summer
1765,9,75.2,Autumn
1765,10,168.7,Autumn
1765,11,64.6,Autumn
1765,12,54.0,Winter
1766,1,7.2,Winter
1766,2,75.0,Winter
1766,3,25.3,Spring
1766,4,79.5,Spring
1766,5,132.8,Spring
1766,6,127.4,Summer
1766,7,85.8,Summer
1766,8,56.0,Summer
1766,9,90.4,Autumn
1766,10,101.2,Autumn
1766,11,62.3,Autumn
1766,12,60.5,Winter
1767,1,29.8,Winter
1767,2,116.0,Winter
1767,3,96.9,Spring
1767,4,22.4,Spring
1767,5,140.5,Spring
1767,6,17.0,Summer
1767,7,191.6,Summer
1767,8,102.2,Summer
1767,9,91.6,Autumn
1767,10,63.9,Autumn
1767,11,136.3,Autumn
1767,12,56.4,Winter
1768,1,67.6,Winter
1768,2,192.8,Winter
1768,3,39.4,Spring
1768,4,83.0,Spring
1768,5,53.5,Spring
1768,6,187.2,Summer
1768,7,161.8,Summer
1768,8,81.6,Summer
1768,9,159.0,Autumn
1768,10,105.5,Autumn
1768,11,164.7,Autumn
1768,12,111.2,Winter
1769,1,55.6,Winter
1769,2,71.8,Winter
1769,3,36.4,Spring
1769,4,46.5,Spring
1769,5,53.6,Spring
1769,6,145.7,Summer
1769,7,76.9,Summer
1769,8,137.6,Summer
1769,9,181.1,Autumn
1769,10,53.6,Autumn
1769,11,72.8,Autumn
1769,12,79.9,Winter
1770,1,43.2,Winter
1770,2,50.2,Winter
1770,3,74.8,Spring
1770,4,70.1,Spring
1770,5,61.9,Spring
1770,6,149.6,Summer
1770,7,81.8,Summer
1770,8,65.4,Summer
1770,9,113.3,Autumn
1770,10,93.5,Autumn
1770,11,224.3,Autumn
1770,12,140.2,Winter
1771,1,65.6,Winter
1771,2,32.3,Winter
1771,3,35.0,Spring
1771,4,39.5,Spring
1771,5,53.0,Spring
1771,6,53.0,Summer
1771,7,83.5,Summer
1771,8,122.2,Summer
1771,9,62.0,Autumn
1771,10,185.0,Autumn
1771,11,74.6,Autumn
1771,12,92.5,Winter
1772,1,82.4,Winter
1772,2,85.9,Winter
1772,3,80.1,Spring
1772,4,44.1,Spring
1772,5,73.1,Spring
1772,6,116.1,Summer
1772,7,74.3,Summer
1772,8,104.5,Summer
1772,9,171.8,Autumn
1772,10,114.9,Autumn
1772,11,159.0,Autumn
1772,12,54.6,Winter
1773,1,96.7,Winter
1773,2,63.2,Winter
1773,3,27.4,Spring
1773,4,69.2,Spring
1773,5,149.2,Spring
1773,6,50.1,Summer
